Call,Site,Time,App%,MPI%,Count,COV
Barrier,14,1.18e+04,7.72,25.20,2,0.00
File_write_at,8,9.94e+03,6.49,21.17,14,0.41
File_read_at,7,6.5e+03,4.24,13.83,14,0.22
File_close,3,4.43e+03,2.89,9.43,16,1.32
Sendrecv_replace,11,3.38e+03,2.20,7.19,80,0.53
Barrier,4,2.17e+03,1.41,4.62,14,2.63
Sendrecv_replace,9,2.09e+03,1.36,4.45,80,0.49
Sendrecv_replace,12,2.02e+03,1.32,4.29,80,0.50
Sendrecv_replace,2,2.01e+03,1.31,4.29,80,0.50
File_close,13,1.06e+03,0.69,2.26,2,0.00
File_close,6,945,0.62,2.01,14,1.50
Barrier,1,293,0.19,0.62,16,1.68
File_open,5,216,0.14,0.46,16,0.04
File_open,10,80.9,0.05,0.17,16,0.00
