Task,AppTime,MPITime,MPI%
0,9.58,1.98,20.70
1,9.58,2.04,21.27
2,9.58,2.01,21.02
3,9.58,2.05,21.43
4,9.58,2,20.87
5,9.58,2.06,21.53
6,9.58,1.99,20.77
7,9.58,2.06,21.54
8,9.58,2.1,21.89
9,9.58,2.15,22.49
10,9.58,2.09,21.82
11,9.58,2.09,21.86
12,9.58,2.13,22.27
13,9.58,3.8,39.64
14,9.58,8.2,85.61
15,9.58,8.2,85.55
