Task,AppTime,MPITime,MPI%
0,17.3,2.01,11.63
1,17.3,2.02,11.72
2,17.3,2.07,11.98
3,17.3,2.09,12.11
4,17.3,2.27,13.15
5,17.3,2.2,12.72
6,17.3,4.05,23.47
7,17.3,15,87.06
