Task,AppTime,MPITime,MPI%
0,6.57,2.23,33.99
1,6.57,2.9,44.17
2,6.57,2.29,34.91
3,6.57,2.93,44.57
4,6.57,2.25,34.23
5,6.57,2.91,44.23
6,6.57,2.48,37.72
7,6.57,5.85,89.13
