Call,Site,Time,App%,MPI%,Count,COV
File_write_at,2,3.72e+04,16.84,34.69,27,0.24
Barrier,13,1.53e+04,6.93,14.27,5,0.00
File_read_at,8,1.5e+04,6.81,14.03,27,0.08
File_close,9,1.12e+04,5.06,10.42,32,1.70
Sendrecv_replace,12,5.61e+03,2.54,5.23,240,0.53
Sendrecv_replace,4,5.54e+03,2.51,5.17,240,0.53
Sendrecv_replace,5,3.77e+03,1.71,3.51,240,0.52
Sendrecv_replace,11,3.74e+03,1.69,3.49,240,0.51
File_close,14,3.09e+03,1.40,2.88,5,0.00
Barrier,10,2.95e+03,1.34,2.75,27,0.62
File_close,1,1.63e+03,0.74,1.52,27,0.70
File_open,3,1.28e+03,0.58,1.20,32,0.19
Barrier,6,554,0.25,0.52,32,0.73
File_open,7,343,0.16,0.32,32,0.02
